id	kind	statement	rocq-obligation	tla-obligation	smt-obligation	executable-oracle	required-red-test	causal-mutant	acceptance-state
SI-TYPE-001	safety	Every decoder phase cursor counter and terminal result remains in its declared domain	machine_state_is_typed	TypeOK	Q01_STATE_DOMAIN_IS_CLOSED	oracle_machine_state_is_typed	prop_machine_state_is_typed	mutant_unknown_phase	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-WIRE-001	portability	Every multibyte wire integer is fixed-width little-endian	fixed_width_round_trip	not-applicable	Q02_FIXED_WIDTH_IS_PLATFORM_INDEPENDENT	oracle_little_endian_words	prop_wire_words_are_little_endian	mutant_big_endian_word	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-WIRE-002	portability	No pointer-width or Rust representation detail affects canonical bytes	wire_length_is_architecture_independent	not-applicable	Q02_FIXED_WIDTH_IS_PLATFORM_INDEPENDENT	oracle_platform_width_independence	prop_wire_uses_no_usize_layout	mutant_pointer_width_word	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-HEADER-001	safety	Magic schema version reserved flags and key codec identity must match exactly	header_admission_is_conjunctive	HeaderMustMatch	Q03_HEADER_MISMATCH_IS_REJECTED	oracle_header_matrix	prop_header_fields_match_exactly	mutant_ignore_reserved_flags	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-LENGTH-001	safety	Declared payload and complete frame lengths match exact bytes with no trailing input	exact_frame_length_has_unique_end	ExactLength	Q04_TRAILING_BYTES_ARE_REJECTED	oracle_exact_frame_length	prop_declared_and_actual_lengths_match	mutant_accept_trailing_byte	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-ARITH-001	safety	Every length offset count and work calculation uses checked arithmetic	checked_sum_preserves_bounds	ArithmeticIsChecked	Q05_OVERFLOW_IS_REJECTED	oracle_checked_arithmetic	prop_length_arithmetic_never_wraps	mutant_wrapping_payload_length	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-LIMIT-001	resource	The complete byte limit is enforced before variable scanning hashing or allocation	byte_limit_precedes_work	AdmissionPrecedesAllocation	Q06_OVERSIZE_BYTES_HAVE_NO_ALLOCATION	oracle_byte_admission_order	prop_byte_limit_precedes_allocation	mutant_hash_before_byte_limit	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-LIMIT-002	resource	Task dependency resource key profile event and receipt limits are admitted before allocation	count_limits_precede_allocation	AdmissionPrecedesAllocation	Q07_COUNT_LIMITS_HAVE_NO_ALLOCATION	oracle_count_admission_matrix	prop_all_declared_counts_are_bounded	mutant_allocate_before_count_limit	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-WORK-001	resource	Declared logical work is checked before variable decoding and cannot be exceeded	work_budget_is_monotone	WorkNeverExceedsBudget	Q08_WORK_BOUND_IS_MONOTONE	oracle_work_budget	prop_decode_work_never_exceeds_limit	mutant_skip_work_charge	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-CANCEL-001	temporal	Cancellation is sampled before allocation at bounded scan intervals and before publication	cancelled_machine_never_publishes	CancelledHasNoPublication	Q09_CANCELLED_RESULT_IS_UNPUBLISHED	oracle_cancellation_boundaries	prop_cancellation_has_no_partial_result	mutant_publish_after_cancel	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-ALLOC-001	resource	Each retained output collection reserves at most once and only after complete admission	admitted_capacity_is_sufficient	AdmissionPrecedesAllocation	Q10_EXACT_RESERVE_FOLLOWS_ADMISSION	oracle_reservation_accounting	prop_output_reserves_are_exact	mutant_reallocate_output	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-KEY-001	safety	The exact 256-bit key codec identity is bound into every plan interpretation	codec_identity_binds_interpretation	HeaderMustMatch	Q11_FOREIGN_CODEC_IS_REJECTED	oracle_codec_identity	prop_foreign_key_codec_is_rejected	mutant_ignore_codec_identity	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
SI-KEY-002	algebraic	Decoding then encoding every admitted key reproduces identical key bytes	canonical_key_reencode_is_identity	CanonicalRoundTrip	Q12_KEY_REENCODE_IS_EXACT	oracle_key_round_trip	prop_key_decode_reencode_is_exact	mutant_normalize_key_bytes	accepted@269d8d137717c7c0a53e9418c5d52e8366967783
